model-1579334766,1579334917.61,0.49,0.2459,0.62,0.2356,2
model-1579334766,1579334920.698,0.52,0.2486,0.59,0.2369,2
model-1579334766,1579334923.357,0.68,0.2403,0.66,0.2405,2
model-1579334766,1579334926.038,0.58,0.2407,0.66,0.2409,2
model-1579334766,1579334928.732,0.59,0.238,0.69,0.2388,2
model-1579334766,1579334931.401,0.6,0.2427,0.53,0.2316,2
model-1579334766,1579334932.503,0.49,0.2338,0.62,0.23,2
model-1579334766,1579334935.179,0.64,0.2374,0.62,0.238,3
model-1579334766,1579334937.907,0.64,0.2285,0.53,0.2422,3
model-1579334766,1579334940.578,0.59,0.2362,0.66,0.2241,3
model-1579334766,1579334943.304,0.64,0.228,0.62,0.2202,3
model-1579334766,1579334945.98,0.6,0.2336,0.59,0.2278,3
model-1579334766,1579334948.67,0.6,0.2348,0.56,0.2236,3
model-1579334766,1579334951.326,0.66,0.2046,0.62,0.217,3
model-1579334766,1579334954.456,0.69,0.2202,0.69,0.2125,3
model-1579334766,1579334958.004,0.64,0.2199,0.72,0.2096,3
model-1579334766,1579334961.1,0.64,0.2316,0.72,0.207,3
model-1579334766,1579334964.162,0.63,0.2256,0.62,0.2051,3
model-1579334766,1579334967.91,0.72,0.2026,0.69,0.1996,3
model-1579334766,1579334971.476,0.65,0.2114,0.72,0.1954,3
model-1579334766,1579334974.787,0.61,0.2377,0.69,0.1916,3
model-1579334766,1579334977.932,0.7,0.1946,0.69,0.1908,3
model-1579334766,1579334981.235,0.71,0.1982,0.81,0.1825,3
model-1579334766,1579334984.219,0.66,0.2036,0.78,0.1773,3
model-1579334766,1579334987.41,0.68,0.2169,0.78,0.1726,3
model-1579334766,1579334988.527,0.71,0.1488,0.78,0.1644,3
model-1579334766,1579334991.469,0.72,0.197,0.62,0.1918,4
model-1579334766,1579334994.907,0.69,0.2034,0.81,0.1636,4
model-1579334766,1579334998.087,0.76,0.1892,0.72,0.177,4
model-1579334766,1579335001.13,0.66,0.2103,0.72,0.1822,4
model-1579334766,1579335004.346,0.63,0.2347,0.88,0.1602,4
model-1579334766,1579335007.688,0.67,0.2109,0.81,0.1687,4
model-1579334766,1579335011.222,0.75,0.1764,0.81,0.1713,4
model-1579334766,1579335014.147,0.76,0.1851,0.81,0.1836,4
model-1579334766,1579335017.872,0.69,0.1895,0.59,0.1984,4
model-1579334766,1579335021.134,0.64,0.2091,0.72,0.1925,4
model-1579334766,1579335024.329,0.72,0.2059,0.72,0.1933,4
model-1579334766,1579335027.669,0.82,0.1734,0.78,0.1992,4
model-1579334766,1579335030.731,0.71,0.1953,0.72,0.2008,4
model-1579334766,1579335034.111,0.62,0.2323,0.75,0.1939,4
model-1579334766,1579335037.19,0.75,0.1825,0.72,0.1879,4
model-1579334766,1579335040.444,0.77,0.1813,0.66,0.1813,4
model-1579334766,1579335043.819,0.7,0.1894,0.75,0.174,4
model-1579334766,1579335047.14,0.67,0.2049,0.81,0.1673,4
model-1579334766,1579335048.565,0.74,0.1375,0.78,0.1635,4
model-1579334766,1579335052.309,0.77,0.1682,0.81,0.1798,5
model-1579334766,1579335056.17,0.75,0.1816,0.69,0.1944,5
model-1579334766,1579335059.565,0.69,0.1941,0.84,0.1513,5
model-1579334766,1579335062.829,0.77,0.1673,0.75,0.1661,5
model-1579334766,1579335066.278,0.67,0.2003,0.66,0.1799,5
model-1579334766,1579335069.361,0.64,0.2078,0.72,0.1746,5
model-1579334766,1579335072.633,0.76,0.1583,0.75,0.1614,5
model-1579334766,1579335076.105,0.81,0.1628,0.81,0.1568,5
model-1579334766,1579335079.652,0.7,0.1709,0.84,0.1597,5
model-1579334766,1579335083.153,0.73,0.1675,0.84,0.1592,5
model-1579334766,1579335086.595,0.68,0.1887,0.81,0.1561,5
model-1579334766,1579335089.547,0.81,0.1388,0.78,0.1534,5
model-1579334766,1579335092.629,0.77,0.1609,0.75,0.1561,5
model-1579334766,1579335095.317,0.65,0.2076,0.78,0.1574,5
